  ozone radiation temperature wind
3.44821724038273 190 67 7.4
3.30192724889463 118 72 8
2.28942848510666 149 74 12.6
2.6207413942089 313 62 11.5
2.84386697985157 299 65 8.6
2.66840164872194 99 59 13.8
2 19 61 20.1
2.51984209978975 256 69 9.7
2.22398009056931 290 66 9.2
2.41014226417523 274 68 10.9
2.6207413942089 65 58 13.2
2.41014226417523 334 64 11.5
3.23961180127748 307 66 12
1.81712059283214 78 57 18.4
3.10723250595386 322 68 11.5
2.22398009056931 44 62 9.7
1 8 59 9.7
2.22398009056931 320 73 16.6
1.5874010519682 25 61 9.7
3.1748021039364 92 61 12
2.84386697985157 13 67 12
3.55689330449006 252 81 14.9
4.86294413109428 223 79 5.7
3.33222185164595 279 76 7.4
3.07231682568585 127 82 9.7
4.14081774942285 291 90 13.8
3.39121144301417 323 87 11.5
2.84386697985157 148 82 8
2.75892417638112 191 77 14.9
3.33222185164595 284 72 20.7
2.71441761659491 37 65 9.2
2.28942848510666 120 73 11.5
2.35133468772076 137 76 10.3
5.12992784003009 269 84 4
3.65930571002297 248 85 9.2
3.1748021039364 236 81 9.2
4 175 83 4.6
3.41995189335339 314 83 10.9
4.25432086511501 276 88 5.1
4.59470089220704 267 92 6.3
4.59470089220704 272 92 5.7
4.39682967215818 175 89 7.4
2.15443469003188 264 73 14.3
3 175 81 14.9
1.91293118277239 48 80 14.3
3.63424118566428 260 81 6.9
3.27106631018859 274 82 10.3
3.93649718310217 285 84 6.3
4.29084042702621 187 87 5.1
3.97905720789639 220 85 11.5
2.51984209978975 7 74 6.9
4.30886938006377 294 86 8.6
4.7622031559046 223 85 8
2.71441761659491 81 82 8.6
3.73251115681725 82 86 12
4.34448148576861 213 88 7.4
3.68403149864039 275 86 7.4
4 253 83 7.4
3.89299641587326 254 81 9.2
3.39121144301417 83 81 6.9
2.0800838230519 24 81 13.8
2.51984209978975 77 82 7.4
4.9596756638423 255 89 4
4.46474509558454 229 90 10.3
4.79141985706278 207 90 8
3.53034833532606 192 86 11.5
3.03658897187566 273 82 11.5
4.02072575858906 157 80 9.7
2.80203933065539 71 77 10.3
3.89299641587326 51 79 6.3
2.84386697985157 115 76 7.4
3.14138065239139 244 78 10.9
3.53034833532606 190 78 10.3
2.75892417638112 259 77 15.5
2.0800838230519 36 72 14.3
3.55689330449006 212 79 9.7
5.51784835276224 238 81 3.4
4.17933919638123 215 86 8
4.23582358425489 203 97 9.7
4.90486813152402 225 94 2.3
4.37951913988789 237 96 6.3
4.39682967215818 188 94 6.3
4.57885697021333 167 91 6.9
4.27265868169792 197 92 5.1
4.17933919638123 183 93 2.8
4.49794144527541 189 93 4.6
3.60882608013869 95 87 7.4
3.1748021039364 92 84 15.5
2.71441761659491 252 80 10.9
2.84386697985157 220 78 10.3
2.75892417638112 230 75 10.9
2.88449914061482 259 73 9.7
3.53034833532606 236 81 14.9
2.75892417638112 259 76 15.5
3.03658897187566 238 77 6.3
2.0800838230519 24 71 10.9
2.35133468772076 112 71 11.5
3.58304787101595 237 78 6.9
2.6207413942089 224 67 13.8
2.35133468772076 27 76 10.3
2.88449914061482 238 68 10.3
2.51984209978975 201 82 8
2.35133468772076 238 64 12.6
2.84386697985157 14 71 9.2
3.30192724889463 139 81 10.3
1.91293118277239 49 69 10.3
2.41014226417523 20 63 16.6
3.10723250595386 193 70 6.9
2.41014226417523 191 75 14.3
2.6207413942089 131 76 8
2.71441761659491 223 68 11.5
